@relation citibike_discretized-8bins-eqwidth-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute dayinyear numeric
@attribute hour numeric
@attribute TemperatureF numeric
@attribute 'Dew PointF' numeric
@attribute Humidity numeric
@attribute 'Sea Level PressureIn' numeric
@attribute VisibilityMPH numeric
@attribute 'Wind SpeedMPH' numeric
@attribute 'Gust SpeedMPH' numeric
@attribute PrecipitationIn numeric
@attribute Events=Fog-Rain numeric
@attribute Events=Rain numeric
@attribute Events=Snow numeric
@attribute Events=Fog-Snow numeric
@attribute Events=Fog numeric
@attribute 'Conditions=Mostly Cloudy' numeric
@attribute Conditions=Overcast numeric
@attribute 'Conditions=Light Rain' numeric
@attribute 'Conditions=Heavy Rain' numeric
@attribute 'Conditions=Scattered Clouds' numeric
@attribute Conditions=Clear numeric
@attribute 'Conditions=Partly Cloudy' numeric
@attribute Conditions=Rain numeric
@attribute Conditions=Haze numeric
@attribute Conditions=Unknown numeric
@attribute 'Conditions=Light Snow' numeric
@attribute Conditions=Snow numeric
@attribute 'Conditions=Heavy Snow' numeric
@attribute 'Conditions=Light Freezing Rain' numeric
@attribute Conditions=Fog numeric
@attribute numtrips {'\'(-inf-550.375]\'','\'(550.375-1099.75]\'','\'(1099.75-1649.125]\'','\'(1649.125-2198.5]\'','\'(2198.5-2747.875]\'','\'(2747.875-3297.25]\'','\'(3297.25-3846.625]\'','\'(3846.625-inf)\''}

@data
0.008242,0.043478,0.773362,0.978261,0.931034,0.684211,0.693878,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.008242,0.173913,0.773362,0.978261,0.931034,0.695906,0.693878,0.369863,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.008242,0.304348,0.773362,0.968478,0.896552,0.701754,0.693878,0,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.010989,0.043478,0.796992,0.947826,0.758621,0.672515,0.897959,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.010989,0.173913,0.773362,0.957609,0.850575,0.672515,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.010989,0.304348,0.785177,0.957609,0.816092,0.695906,0.795918,0.26484,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.013736,0.086957,0.818475,0.947826,0.701149,0.631579,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.013736,0.217391,0.796992,0.957609,0.781609,0.631579,0.897959,0.315068,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.013736,0.347826,0.828142,0.957609,0.701149,0.637427,0.897959,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.016484,0.043478,0.84855,0.947826,0.62069,0.590643,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.016484,0.173913,0.828142,0.947826,0.678161,0.578947,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.016484,0.304348,0.818475,0.947826,0.701149,0.584795,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.019231,0,0.796992,0.870652,0.563218,0.549708,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.019231,0.130435,0.763695,0.892391,0.689655,0.549708,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.019231,0.26087,0.75188,0.902174,0.758621,0.573099,0.897959,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.021978,0.043478,0.773362,0.880435,0.643678,0.578947,0.897959,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.021978,0.173913,0.763695,0.892391,0.689655,0.584795,0.795918,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.024725,0,0.796992,0.91413,0.666667,0.561404,0.795918,0.210046,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.024725,0.130435,0.773362,0.93587,0.793103,0.54386,0.591837,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.027473,0,0.838883,0.947826,0.643678,0.444444,0.897959,0.210046,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.027473,0.130435,0.818475,0.957609,0.724138,0.444444,0.795918,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.027473,0.26087,0.785177,0.947826,0.793103,0.45614,0.795918,?,?,0,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.03022,0.086957,0.75188,0.85,0.609195,0.520468,1,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.03022,0.217391,0.742213,0.838043,0.609195,0.538012,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.03022,0.913043,0.700322,0.902174,0.91954,0.608187,0.489796,0.420091,0.152174,0.033898,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.032967,0,0.688507,0.892391,0.91954,0.637427,0.234694,0.420091,?,0.033898,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.032967,0.130435,0.688507,0.902174,0.954023,0.631579,0.183673,0.420091,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.032967,0.26087,0.700322,0.91413,0.954023,0.672515,0.132653,0.369863,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.035714,0,0.763695,0.957609,0.885057,0.736842,0.693878,0,?,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.035714,0.130435,0.75188,0.957609,0.91954,0.748538,0.489796,0,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.035714,0.26087,0.773362,0.968478,0.896552,0.74269,0.591837,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.038462,0,0.838883,0.91413,0.563218,0.701754,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.038462,0.130435,0.818475,0.93587,0.666667,0.695906,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.041209,0,0.870032,0.93587,0.551724,0.649123,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.041209,0.130435,0.818475,0.91413,0.62069,0.649123,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.043956,0,0.860365,0.870652,0.436782,0.649123,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.043956,0.130435,0.828142,0.892391,0.54023,0.643275,1,0,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.046703,0,0.84855,0.926087,0.574713,0.596491,0.795918,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.046703,0.130435,0.838883,0.926087,0.597701,0.573099,0.795918,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.049451,0,0.893663,0.957609,0.551724,0.538012,0.795918,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.049451,0.130435,0.860365,0.978261,0.678161,0.532164,0.693878,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.049451,0.26087,0.84855,0.957609,0.643678,0.520468,0.591837,0,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.052198,0.086957,0.860365,0.947826,0.597701,0.438596,0.693878,0.315068,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.052198,0.217391,0.828142,0.91413,0.597701,0.432749,0.591837,0.369863,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.054945,0,0.838883,0.91413,0.563218,0.461988,1,0.210046,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.054945,0.130435,0.818475,0.926087,0.643678,0.461988,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.054945,0.26087,0.818475,0.892391,0.563218,0.502924,1,0.26484,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.057692,0,0.785177,0.892391,0.643678,0.532164,0.897959,0.159817,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.057692,0.130435,0.773362,0.926087,0.758621,0.520468,0.693878,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.057692,0.913043,0.773362,0.978261,0.931034,0.45614,0.489796,0.26484,?,0.016949,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.06044,0,0.773362,0.978261,0.931034,0.45614,0.285714,0.159817,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.06044,0.130435,0.773362,0.978261,0.931034,0.409357,0.285714,0,?,0.016949,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.063187,0,0.80666,0.91413,0.643678,0.339181,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.063187,0.130435,0.773362,0.902174,0.701149,0.333333,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.065934,0,0.688507,0.730435,0.482759,0.526316,1,0.420091,0.1,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.065934,0.130435,0.667025,0.718478,0.494253,0.526316,1,0.579909,0.2,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.065934,1,0.645542,0.816304,0.816092,0.578947,1,0.420091,?,0.016949,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.068681,0.086957,0.667025,0.794565,0.689655,0.561404,1,0.369863,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.068681,0.217391,0.688507,0.804348,0.655172,0.561404,1,0.26484,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.071429,0.130435,0.709989,0.859783,0.747126,0.578947,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.071429,0.26087,0.709989,0.870652,0.781609,0.578947,0.795918,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.074176,0.086957,0.721805,0.880435,0.781609,0.532164,0.795918,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.074176,0.217391,0.721805,0.870652,0.747126,0.532164,1,0,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.074176,0.347826,0.75188,0.859783,0.632184,0.54386,1,0,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.074176,1,0.731472,0.93587,0.91954,0.567251,0.489796,0.159817,?,0.016949,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.076923,0.086957,0.709989,0.91413,0.91954,0.538012,0.897959,0,?,0.016949,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.076923,0.217391,0.700322,0.902174,0.91954,0.54386,0.693878,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.07967,0.086957,0.700322,0.761957,0.517241,0.619883,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.07967,0.217391,0.688507,0.752174,0.528736,0.637427,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.082418,0.086957,0.709989,0.772826,0.528736,0.631579,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.082418,0.217391,0.688507,0.772826,0.574713,0.643275,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.085165,0.086957,0.742213,0.838043,0.609195,0.555556,1,0,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.085165,0.217391,0.742213,0.828261,0.586207,0.54386,1,0.159817,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.085165,0.565217,0.688507,0.892391,0.91954,0.532164,0.183673,0.420091,?,0.016949,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.085165,1,0.709989,0.91413,0.91954,0.479532,0.489796,0.159817,?,0,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.087912,0.086957,0.709989,0.902174,0.885057,0.461988,0.285714,0,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.087912,0.217391,0.688507,0.892391,0.91954,0.467836,0.285714,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.090659,0.130435,0.742213,0.782609,0.482759,0.48538,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.090659,0.26087,0.731472,0.804348,0.551724,0.502924,1,0,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.093407,0.086957,0.700322,0.828261,0.689655,0.479532,1,0,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.093407,0.217391,0.688507,0.761957,0.551724,0.48538,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.096154,0,0.688507,0.696739,0.413793,0.54386,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.096154,0.130435,0.645542,0.706522,0.517241,0.555556,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.098901,0,0.709989,0.706522,0.390805,0.584795,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.098901,0.130435,0.676692,0.752174,0.551724,0.584795,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.101648,0,0.731472,0.816304,0.586207,0.625731,1,0.210046,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.101648,0.130435,0.721805,0.838043,0.655172,0.631579,1,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.104396,0,0.742213,0.902174,0.781609,0.596491,1,0.315068,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.104396,0.130435,0.709989,0.91413,0.91954,0.596491,0.693878,0.159817,?,0.033898,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.107143,0,0.75188,0.93587,0.850575,0.561404,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.107143,0.130435,0.75188,0.947826,0.896552,0.538012,0.693878,0.159817,?,0.016949,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.107143,0.26087,0.75188,0.957609,0.91954,0.520468,0.387755,0.210046,?,0.050847,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.10989,0.086957,0.763695,0.91413,0.758621,0.497076,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.10989,0.217391,0.709989,0.859783,0.747126,0.526316,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.112637,0.043478,0.721805,0.740217,0.436782,0.590643,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.112637,0.173913,0.676692,0.740217,0.528736,0.608187,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.112637,0.304348,0.676692,0.740217,0.528736,0.625731,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.115385,0.043478,0.742213,0.902174,0.781609,0.567251,1,0,?,0,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.115385,0.173913,0.731472,0.902174,0.816092,0.555556,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.118132,0,0.75188,0.902174,0.758621,0.508772,0.795918,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.118132,0.130435,0.742213,0.91413,0.816092,0.479532,0.693878,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.118132,0.347826,0.742213,0.947826,0.91954,0.479532,0.163265,0,?,0.067797,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.118132,0.478261,0.700322,0.91413,0.954023,0.432749,0.061224,0.159817,?,0.186441,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.120879,0,0.688507,0.870652,0.850575,0.415205,0.897959,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.120879,0.130435,0.655209,0.752174,0.597701,0.426901,1,0.26484,0.152174,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.123626,0,0.655209,0.696739,0.471264,0.590643,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.123626,0.130435,0.625134,0.696739,0.54023,0.602339,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.126374,0,0.676692,0.761957,0.574713,0.637427,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.126374,0.130435,0.655209,0.761957,0.632184,0.637427,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.129121,0.086957,0.676692,0.761957,0.574713,0.684211,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.129121,0.217391,0.655209,0.761957,0.632184,0.695906,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.131868,0.043478,0.721805,0.772826,0.505747,0.701754,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.131868,0.173913,0.700322,0.772826,0.551724,0.695906,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.131868,0.304348,0.709989,0.838043,0.689655,0.707602,0.795918,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.134615,0,0.688507,0.804348,0.655172,0.631579,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.134615,0.130435,0.688507,0.794565,0.632184,0.625731,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.134615,1,0.731472,0.870652,0.724138,0.590643,1,0.159817,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.137363,0.086957,0.709989,0.870652,0.781609,0.590643,0.897959,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.137363,0.217391,0.700322,0.859783,0.781609,0.596491,1,0.210046,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.14011,0.086957,0.763695,0.870652,0.643678,0.631579,1,0,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
